src|match|phone match|stress match|syl match|freq|row|col|ref|pred
HOWEVER|True|True|True|True|2763|1|1|2 h ow - 1 e - 0 v @|2 h ow - 1 e - 0 v @
A|True|True|True|True|124956|1|2|1 ei|1 ei
FATAL|True|True|True|True|216|1|3|1 f ei t - 0 l!|1 f ei t - 0 l!
EXCEPTION|True|True|True|True|138|1|4|0 i k - 1 s e p - 0 sh n!|0 i k - 1 s e p - 0 sh n!
CAUSED|True|True|True|True|479|1|5|1 k oo z d|1 k oo z d
ONE|True|True|True|True|22664|1|6|1 w uh n|1 w uh n
CREW|True|True|True|True|242|1|7|1 k r uu|1 k r uu
MEMBER|True|True|True|True|262|1|8|1 m e m - 0 b @|1 m e m - 0 b @
TO|True|True|True|True|154614|1|9|0 t uu|0 t uu
MISPRINT|True|True|True|True|1|1|10|0 m i s - 1 p r i n t|0 m i s - 1 p r i n t
HIMSELF|True|True|True|True|5776|1|11|3 h i m - 1 s e lw f|3 h i m - 1 s e lw f
AS|True|True|True|True|46451|1|12|1 a z|1 a z
A|True|True|True|True|124956|1|13|1 ei|1 ei
DEFORMED|True|True|True|True|26|1|14|0 d i - 1 f oo m d|0 d i - 1 f oo m d
MONSTER|True|True|True|True|174|1|15|1 m o n - 0 s t @|1 m o n - 0 s t @
IT'S|True|True|True|True|2399|3|1|1 i t s|1 i t s
NOT|True|True|True|True|37604|3|2|1 n o t|1 n o t
MY|True|True|True|True|24664|3|3|1 m ai|1 m ai
FAULT|True|True|True|True|333|3|4|1 f oo lw t|1 f oo lw t
THEY|True|True|True|True|28408|3|5|1 dh ei|1 dh ei
MISPRINT|True|True|True|True|1|3|6|0 m i s - 1 p r i n t|0 m i s - 1 p r i n t
THEM|True|True|True|True|16964|3|7|1 dh e m|1 dh e m
IT|True|True|True|True|67151|4|1|1 i t|1 i t
CONTINUES|True|True|True|True|80|4|2|0 k @ n - 1 t i - 0 n y uu z|0 k @ n - 1 t i - 0 n y uu z
TO|True|True|True|True|154614|4|3|0 t uu|0 t uu
MISPRINT|False|True|False|True|1|4|4|0 m i s - 1 p r i n t|1 m i s - 0 p r i n t
PRINT|True|True|True|True|93|4|5|1 p r i n t|1 p r i n t
ITS|True|True|True|True|8315|4|6|1 i t s|1 i t s
OWN|True|True|True|True|5678|4|7|1 ou n|1 ou n
STERLING|True|True|True|True|53|4|8|1 s t @@r - 0 l i ng|1 s t @@r - 0 l i ng
BANKNOTES|True|True|True|True|4|4|9|1 b a ng k - 3 n ou t s|1 b a ng k - 3 n ou t s
UNDER|True|True|True|True|3812|4|10|1 uh n - 0 d @|1 uh n - 0 d @
LEGAL|True|True|True|True|152|4|11|1 l ii - 0 g @ lw|1 l ii - 0 g @ lw
ARRANGEMENTS|True|True|True|True|127|4|12|0 @ - 1 r ei n jh - 0 m @ n t s|0 @ - 1 r ei n jh - 0 m @ n t s
THAT|True|True|True|True|73150|4|13|1 dh a t|1 dh a t
ALLOW|True|True|True|True|490|4|14|0 @ - 1 l ow|0 @ - 1 l ow
SCOTTISH|True|True|True|True|47|4|15|1 s k o t - 0 i sh|1 s k o t - 0 i sh
BANKS|True|True|True|True|243|4|16|1 b a ng k s|1 b a ng k s
TO|True|True|True|True|154614|4|17|0 t uu|0 t uu
ISSUE|True|True|True|True|157|4|18|1 i - 0 sh uu|1 i - 0 sh uu
CURRENCY|True|True|True|True|39|4|19|1 k uh - 0 r @ n - 0 s iy|1 k uh - 0 r @ n - 0 s iy
IT|True|True|True|True|67151|5|1|1 i t|1 i t
WAS|True|True|True|True|69893|5|2|1 w o z|1 w o z
NOT|True|True|True|True|37604|5|3|1 n o t|1 n o t
ECONOMICAL|True|True|True|True|22|5|4|2 e - 0 k @ - 1 n o - 0 m i k - 0 l!|2 e - 0 k @ - 1 n o - 0 m i k - 0 l!
TO|True|True|True|True|154614|5|5|0 t uu|0 t uu
MISPRINT|True|True|True|True|1|5|6|0 m i s - 1 p r i n t|0 m i s - 1 p r i n t
SINGLE|True|True|True|True|779|5|7|1 s i ng - 0 g l!|1 s i ng - 0 g l!
COPIES|True|True|True|True|46|5|8|1 k o - 0 p iy z|1 k o - 0 p iy z
USING|True|True|True|True|226|5|9|1 y uu z - 0 i ng|1 y uu z - 0 i ng
TRADITIONAL|True|True|True|True|48|5|10|0 t r @ - 1 d i - 0 sh n! - 0 @ lw|0 t r @ - 1 d i - 0 sh n! - 0 @ lw
PRINTING|True|True|True|True|51|5|11|1 p r i n t - 0 i ng|1 p r i n t - 0 i ng
TECHNOLOGY|True|True|True|True|19|5|12|0 t e k - 1 n o - 0 l @ - 0 jh iy|0 t e k - 1 n o - 0 l @ - 0 jh iy
SUCH|True|True|True|True|7548|5|13|1 s uh ch|1 s uh ch
AS|True|True|True|True|46451|5|14|1 a z|1 a z
AND|True|True|True|True|195893|5|16|1 a n d|1 a n d
OFFSET|True|True|True|True|12|5|17|3 o f - 1 s e t|3 o f - 1 s e t
PRINTING|True|True|True|True|51|5|18|1 p r i n t - 0 i ng|1 p r i n t - 0 i ng
WHEN|True|True|True|True|17529|6|1|1 w e n|1 w e n
THE|True|True|True|True|345973|6|2|0 dh @|0 dh @
MISPRINT|False|True|False|True|1|6|3|0 m i s - 1 p r i n t|1 m i s - 0 p r i n t
APPEARED|True|True|True|True|1238|6|4|0 @ - 1 p i@ d|0 @ - 1 p i@ d
ON|True|True|True|True|32846|6|5|1 o n|1 o n
THE|True|True|True|True|345973|6|6|0 dh @|0 dh @
TITLE|True|True|True|True|214|6|7|1 t ai - 0 t l!|1 t ai - 0 t l!
PAGE|True|True|True|True|187|6|8|1 p ei jh|1 p ei jh
OF|True|True|True|True|172137|6|9|1 o v|1 o v
HIS|True|True|True|True|52853|6|10|1 h i z|1 h i z
FIRST|True|True|True|True|6404|6|11|1 f @@r s t|1 f @@r s t
BOOK|True|True|True|True|1005|6|12|1 b u k|1 b u k
FAULKNER|True|True|True|True|5|6|13|1 f oo k - 0 n @|1 f oo k - 0 n @
WAS|True|True|True|True|69893|6|14|1 w o z|1 w o z
ASKED|True|True|True|True|3462|6|15|1 aa s k t|1 aa s k t
WHETHER|True|True|True|True|1630|6|16|1 w e - 0 dh @|1 w e - 0 dh @
HE|True|True|True|True|75116|6|17|1 h ii|1 h ii
WANTED|True|True|True|True|1164|6|18|1 w o n t - 0 i d|1 w o n t - 0 i d
THE|True|True|True|True|345973|6|19|0 dh @|0 dh @
CHANGE|True|True|True|True|961|6|20|1 ch ei n jh|1 ch ei n jh
N|True|True|True|True|91|8|1|1 e n|1 e n
THIS|True|True|True|True|25557|8|2|1 dh i s|1 dh i s
COPY|True|True|True|True|112|8|3|1 k o - 0 p iy|1 k o - 0 p iy
THE|True|True|True|True|345973|8|4|0 dh @|0 dh @
MISTAKE|True|True|True|True|321|8|5|0 m i - 1 s t ei k|0 m i - 1 s t ei k
IN|True|True|True|True|96089|8|6|1 i n|1 i n
THE|True|True|True|True|345973|8|7|0 dh @|0 dh @
RED|True|True|True|True|1542|8|8|1 r e d|1 r e d
CIRCLE|True|True|True|True|299|8|9|1 s @@r - 0 k l!|1 s @@r - 0 k l!
IS|True|True|True|True|43616|8|10|1 i z|1 i z
CORRECTED|True|True|True|True|53|8|11|0 k @ - 1 r e k t - 0 i d|0 k @ - 1 r e k t - 0 i d
WITH|True|True|True|True|46126|8|12|1 w i dh|1 w i dh
A|True|True|True|True|124956|8|13|1 ei|1 ei
SLIP|True|True|True|True|180|8|14|1 s l i p|1 s l i p
OF|True|True|True|True|172137|8|15|1 o v|1 o v
PAPER|True|True|True|True|782|8|16|1 p ei - 0 p @|1 p ei - 0 p @
PASTED|True|True|True|True|9|8|17|1 p ei s t - 0 i d|1 p ei s t - 0 i d
OVER|True|True|True|True|7854|8|18|1 ou - 0 v @|1 ou - 0 v @
THE|True|True|True|True|345973|8|19|0 dh @|0 dh @
MISPRINT|True|True|True|True|1|8|20|1 m i s - 0 p r i n t|1 m i s - 0 p r i n t
A|True|True|True|True|124956|9|1|1 ei|1 ei
TYPOGRAPHICAL|True|True|True|True|4|9|2|2 t ai p - 0 @ - 1 g r a - 0 f i k - 0 l!|2 t ai p - 0 @ - 1 g r a - 0 f i k - 0 l!
ERROR|True|True|True|True|177|9|3|1 e - 0 r @|1 e - 0 r @
OFTEN|True|True|True|True|1869|9|4|1 o f - 0 t @ n|1 o f - 0 t @ n
SHORTENED|True|True|True|True|15|9|5|1 sh oo t - 0 @ n d|1 sh oo t - 0 @ n d
TO|True|True|True|True|154614|9|6|0 t uu|0 t uu
ALSO|True|True|True|True|3286|9|8|1 oo lw - 0 s ou|1 oo lw - 0 s ou
CALLED|True|True|True|True|2451|9|9|1 k oo lw d|1 k oo lw d
A|True|True|True|True|124956|9|10|1 ei|1 ei
MISPRINT|True|True|True|True|1|9|11|1 m i s - 0 p r i n t|1 m i s - 0 p r i n t
IS|True|True|True|True|43616|9|12|1 i z|1 i z
A|True|True|True|True|124956|9|13|1 ei|1 ei
MISTAKE|True|True|True|True|321|9|14|0 m i - 1 s t ei k|0 m i - 1 s t ei k
SUCH|True|True|True|True|7548|9|15|1 s uh ch|1 s uh ch
AS|True|True|True|True|46451|9|16|1 a z|1 a z
A|True|True|True|True|124956|9|17|1 ei|1 ei
SPELLING|True|True|True|True|28|9|18|1 s p e l - 0 i ng|1 s p e l - 0 i ng
