0,the sunhammer proved to be the implement of the trow's destruction,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,6,implement,Lexical
1,it changed its name to the moline implement company to reflect this,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,7,implement,Lexical
2,he found employment with robinson bros implement makers of melbourne,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,6,implement,Lexical
3,an obstetrical implement known as a pince de bar an umbilical cord clamp is named after him,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,2,implement,Lexical
4,farm implement and machinery review volume eighty part two obituaries,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,1,implement,Lexical
5,the implement is thrown using one hand only but otherwise using any technique,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,1,implement,Lexical
6,in nineteen ninety five hoffman started performing with her high school classmate ben lee's pop punk band noise addict as a fifteen year old guitarist,"('nn', 'a - d i k t', [1, 0])", 0 @ - 1 d i k t ,18,addict,Morphosyntactic
7,inspections revealed that sixty five homes sustained major or severe damage and one hundred and twenty five homes experienced mild to moderate damage,"('jj', 'm o - d @ - r @ t', [1, 0, 0])", 1 m o - 0 d @ - 0 r ei t ,21,moderate,Lexical/Morphosyntactic
8,in the first three months of the year the number of tornadoes and tornado outbreaks were low to moderate,"('jj', 'm o - d @ - r @ t', [1, 0, 0])", 1 m o - 0 d @ - 0 r ei t ,18,moderate,Lexical/Morphosyntactic
9,o multiporus are found in highest numbers in low to moderate soil fertility levels,"('jj', 'm o - d @ - r @ t', [1, 0, 0])", 1 m o - 0 d @ - 0 r ei t ,10,moderate,Lexical/Morphosyntactic
10,potvin was known for being intelligent articulate and outspoken off the ice,"('jj', 'aa - t i - k y uw - l @ t', [0, 1, 0, 0])", 0 aa - 1 t i - 0 k y uw - 0 l ei t ,6,articulate,Morphosyntactic
