src|match|phone match|stress match|syl match|freq|row|col|ref|pred
IT|True|True|True|True|67151|1|1|1 i t|1 i t
IS|True|True|True|True|43616|1|2|1 i z|1 i z
ALSO|True|True|True|True|3286|1|3|1 oo lw - 0 s ou|1 oo lw - 0 s ou
POSSIBLE|True|True|True|True|1440|1|4|1 p o - 0 s i - 0 b l!|1 p o - 0 s i - 0 b l!
TO|True|True|True|True|154614|1|5|0 t uu|0 t uu
IMPLEMENT|True|True|True|True|60|1|6|1 i m - 0 p l i - 0 m e n t|1 i m - 0 p l i - 0 m e n t
A|True|True|True|True|124956|1|7|1 ei|1 ei
FLAT|True|True|True|True|343|1|8|1 f l a t|1 f l a t
FREQUENCY|True|True|True|True|33|1|9|1 f r ii - 0 k w @ n s - 0 iy|1 f r ii - 0 k w @ n s - 0 iy
RESPONSE|True|True|True|True|116|1|10|0 r i - 1 s p o n s|0 r i - 1 s p o n s
IT|True|True|True|True|67151|4|1|1 i t|1 i t
WOULD|True|True|True|True|16560|4|2|1 w u d|1 w u d
APPEAR|True|True|True|True|566|4|3|0 @ - 1 p i@|0 @ - 1 p i@
THAT|True|True|True|True|73150|4|4|1 dh a t|1 dh a t
THE|True|True|True|True|345973|4|5|0 dh @|0 dh @
TECHNOLOGY|True|True|True|True|19|4|6|0 t e k - 1 n o - 0 l @ - 0 jh iy|0 t e k - 1 n o - 0 l @ - 0 jh iy
OF|True|True|True|True|172137|4|7|1 o v|1 o v
THE|True|True|True|True|345973|4|8|0 dh ii|0 dh ii
ERA|True|True|True|True|54|4|9|1 i@ - 0 r @|1 i@ - 0 r @
WAS|True|True|True|True|69893|4|10|1 w o z|1 w o z
NOT|True|True|True|True|37604|4|11|1 n o t|1 n o t
ABLE|True|True|True|True|1364|4|12|1 ei - 0 b l!|1 ei - 0 b l!
TO|True|True|True|True|154614|4|13|0 t uu|0 t uu
IMPLEMENT|True|True|True|True|60|4|14|1 i m - 0 p l i - 0 m e n t|1 i m - 0 p l i - 0 m e n t
THIS|True|True|True|True|25557|4|15|1 dh i s|1 dh i s
TECHNIQUE|True|True|True|True|24|4|16|0 t e k - 1 n ii k|0 t e k - 1 n ii k
AS|True|True|True|True|46451|4|17|1 a z|1 a z
WELL|True|True|True|True|8293|4|18|1 w e lw|1 w e lw
AS|True|True|True|True|46451|4|19|1 a z|1 a z
REQUIRED|True|True|True|True|446|4|20|0 r i - 1 k w ai @ d|0 r i - 1 k w ai @ d
WEST|True|True|True|True|549|5|1|1 w e s t|1 w e s t
ELEMENTARY|True|True|True|True|29|5|3|2 e - 0 l @ - 1 m e n - 0 t r iy|2 e - 0 l @ - 1 m e n - 0 t r iy
SCHOOL|True|True|True|True|1004|5|4|1 s k uu lw|1 s k uu lw
