src|match|phone match|stress match|syl match|freq|row|col|ref|pred
HOWEVER|True|True|True|True|3189|1|1|2 h ow - 1 e - 0 v @|2 h ow - 1 e - 0 v @
A|True|True|True|True|148138|1|2|1 ei|1 ei
FATAL|True|True|True|True|250|1|3|1 f ei t - 0 l!|1 f ei t - 0 l!
EXCEPTION|True|True|True|True|160|1|4|0 i k - 1 s e p - 0 sh n!|0 i k - 1 s e p - 0 sh n!
CAUSED|True|True|True|True|553|1|5|1 k oo z d|1 k oo z d
ONE|True|True|True|True|26298|1|6|1 w uh n|1 w uh n
CREW|True|True|True|True|274|1|7|1 k r uu|1 k r uu
MEMBER|True|True|True|True|294|1|8|1 m e m - 0 b @|1 m e m - 0 b @
TO|True|True|True|True|185876|1|9|0 t uu|0 t uu
MISPRINT|True|True|True|True|1|1|10|0 m i s - 1 p r i n t|0 m i s - 1 p r i n t
HIMSELF|True|True|True|True|6822|1|11|3 h i m - 1 s e lw f|3 h i m - 1 s e lw f
AS|True|True|True|True|55144|1|12|1 a z|1 a z
A|True|True|True|True|148138|1|13|1 ei|1 ei
DEFORMED|True|True|True|True|29|1|14|0 d i - 1 f oo m d|0 d i - 1 f oo m d
MONSTER|True|True|True|True|192|1|15|1 m o n - 0 s t @|1 m o n - 0 s t @
IT'S|True|True|True|True|2818|3|1|1 i t s|1 i t s
NOT|True|True|True|True|44849|3|2|1 n o t|1 n o t
MY|True|True|True|True|29927|3|3|1 m ai|1 m ai
FAULT|True|True|True|True|393|3|4|1 f oo lw t|1 f oo lw t
THEY|True|True|True|True|33585|3|5|1 dh ei|1 dh ei
MISPRINT|True|True|True|True|1|3|6|0 m i s - 1 p r i n t|0 m i s - 1 p r i n t
THEM|True|True|True|True|20342|3|7|1 dh e m|1 dh e m
IT|True|True|True|True|80112|4|1|1 i t|1 i t
CONTINUES|True|True|True|True|72|4|2|0 k @ n - 1 t i - 0 n y uu z|0 k @ n - 1 t i - 0 n y uu z
TO|True|True|True|True|185876|4|3|0 t uu|0 t uu
MISPRINT|False|True|False|True|1|4|4|0 m i s - 1 p r i n t|1 m i s - 0 p r i n t
PRINT|True|True|True|True|106|4|5|1 p r i n t|1 p r i n t
ITS|True|True|True|True|9953|4|6|1 i t s|1 i t s
OWN|True|True|True|True|6932|4|7|1 ou n|1 ou n
STERLING|True|True|True|True|60|4|8|1 s t @@r - 0 l i ng|1 s t @@r - 0 l i ng
BANKNOTES|True|True|True|True|5|4|9|1 b a ng k - 3 n ou t s|1 b a ng k - 3 n ou t s
UNDER|True|True|True|True|4516|4|10|1 uh n - 0 d @|1 uh n - 0 d @
LEGAL|True|True|True|True|161|4|11|1 l ii - 0 g @ lw|1 l ii - 0 g @ lw
ARRANGEMENTS|True|True|True|True|136|4|12|0 @ - 1 r ei n jh - 0 m @ n t s|0 @ - 1 r ei n jh - 0 m @ n t s
THAT|True|True|True|True|87082|4|13|1 dh a t|1 dh a t
ALLOW|True|True|True|True|582|4|14|0 @ - 1 l ow|0 @ - 1 l ow
SCOTTISH|True|True|True|True|54|4|15|1 s k o t - 0 i sh|1 s k o t - 0 i sh
BANKS|True|True|True|True|274|4|16|1 b a ng k s|1 b a ng k s
TO|True|True|True|True|185876|4|17|0 t uu|0 t uu
ISSUE|True|True|True|True|178|4|18|1 i - 0 sh uu|1 i - 0 sh uu
CURRENCY|True|True|True|True|38|4|19|1 k uh - 0 r @ n - 0 s iy|1 k uh - 0 r @ n - 0 s iy
IT|True|True|True|True|80112|5|1|1 i t|1 i t
WAS|True|True|True|True|81994|5|2|1 w o z|1 w o z
NOT|True|True|True|True|44849|5|3|1 n o t|1 n o t
ECONOMICAL|True|True|True|True|28|5|4|2 e - 0 k @ - 1 n o - 0 m i k - 0 l!|2 e - 0 k @ - 1 n o - 0 m i k - 0 l!
TO|True|True|True|True|185876|5|5|0 t uu|0 t uu
MISPRINT|True|True|True|True|1|5|6|0 m i s - 1 p r i n t|0 m i s - 1 p r i n t
SINGLE|True|True|True|True|883|5|7|1 s i ng - 0 g l!|1 s i ng - 0 g l!
COPIES|True|True|True|True|53|5|8|1 k o - 0 p iy z|1 k o - 0 p iy z
USING|True|True|True|True|194|5|9|1 y uu z - 0 i ng|1 y uu z - 0 i ng
TRADITIONAL|True|True|True|True|25|5|10|0 t r @ - 1 d i - 0 sh n! - 0 @ lw|0 t r @ - 1 d i - 0 sh n! - 0 @ lw
PRINTING|True|True|True|True|63|5|11|1 p r i n t - 0 i ng|1 p r i n t - 0 i ng
TECHNOLOGY|True|True|True|True|1|5|12|0 t e k - 1 n o - 0 l @ - 0 jh iy|0 t e k - 1 n o - 0 l @ - 0 jh iy
SUCH|True|True|True|True|9020|5|13|1 s uh ch|1 s uh ch
AS|True|True|True|True|55144|5|14|1 a z|1 a z
AND|True|True|True|True|231451|5|16|1 a n d|1 a n d
OFFSET|True|True|True|True|11|5|17|3 o f - 1 s e t|3 o f - 1 s e t
PRINTING|True|True|True|True|63|5|18|1 p r i n t - 0 i ng|1 p r i n t - 0 i ng
WHEN|True|True|True|True|20965|6|1|1 w e n|1 w e n
THE|True|True|True|True|411541|6|2|0 dh @|0 dh @
MISPRINT|False|True|False|True|1|6|3|0 m i s - 1 p r i n t|1 m i s - 0 p r i n t
APPEARED|True|True|True|True|1458|6|4|0 @ - 1 p i@ d|0 @ - 1 p i@ d
ON|True|True|True|True|38449|6|5|1 o n|1 o n
THE|True|True|True|True|411541|6|6|0 dh @|0 dh @
TITLE|True|True|True|True|232|6|7|1 t ai - 0 t l!|1 t ai - 0 t l!
PAGE|True|True|True|True|242|6|8|1 p ei jh|1 p ei jh
OF|True|True|True|True|205962|6|9|1 o v|1 o v
HIS|True|True|True|True|63019|6|10|1 h i z|1 h i z
FIRST|True|True|True|True|7361|6|11|1 f @@r s t|1 f @@r s t
BOOK|True|True|True|True|1351|6|12|1 b u k|1 b u k
