src|match|phone match|stress match|syl match|freq|row|col|ref|pred
ATTENUATOR|True|True|True|True|0|1|11|0 @ - 1 t e - 0 n y uw - 2 ei t - 0 @|0 @ - 1 t e - 0 n y uw - 2 ei t - 0 @
WORKGROUPS|True|True|True|True|0|8|14|1 w @@r k - 3 g r uu p s|1 w @@r k - 3 g r uu p s
GESTAPO|False|False|True|True|0|15|11|0 g e - 1 s t aa - 0 p ou|0 jh e - 1 s t aa - 0 p ou
INTERROGATES|True|True|True|True|0|18|4|0 i n - 1 t e - 0 r @ - 0 g ei t s|0 i n - 1 t e - 0 r @ - 0 g ei t s
DEANNA|True|True|True|True|0|20|10|0 d iy - 1 a - 0 n @|0 d iy - 1 a - 0 n @
LUNDY'S|True|True|True|True|0|35|1|1 l uh n - 0 d iy z|1 l uh n - 0 d iy z
DECOMPRESS|False|True|False|True|0|46|5|2 d ii - 0 k @ m - 1 p r e s|1 d ii - 0 k @ m - 2 p r e s
FILENAMES|False|False|False|False|0|49|10|1 f ai lw - 3 n ei m z|1 f ai - 0 l @ - 0 n ei m z
GLYCERINE|False|False|True|True|0|51|13|1 g l i - 0 s @ - 0 r ii n|1 g l i - 0 s @ - 0 r i n
JUICING|True|True|True|True|0|52|6|1 jh uu s - 0 i ng|1 jh uu s - 0 i ng
HYDROGENATION|False|True|False|True|0|53|1|0 h ai - 2 d r o - 0 jh @ n - 1 ei - 0 sh n!|2 h ai - 0 d r o - 0 jh @ - 1 n ei - 0 sh n!
SOLVENTS|True|True|True|True|0|53|14|1 s o lw - 0 v n! t s|1 s o lw - 0 v n! t s
COMPARTMENTED|False|False|False|True|0|54|10|0 k @ m - 1 p aa t - 0 m @ n t - 0 i d|0 k @ m - 1 p aa t - 2 m e n t - 0 i d
SKYDIVER|True|True|True|True|0|56|2|1 s k ai - 2 d ai v - 0 @|1 s k ai - 2 d ai v - 0 @
ERA'S|True|True|True|True|0|64|9|1 i@ - 0 r @ z|1 i@ - 0 r @ z
SEASONALLY|True|True|True|True|0|65|8|1 s ii - 0 z n! - 0 @ l - 0 iy|1 s ii - 0 z n! - 0 @ l - 0 iy
COURSEWORK|True|True|True|True|0|67|15|1 k oo s - 3 w @@r k|1 k oo s - 3 w @@r k
SCREENWRITER|True|True|True|True|0|70|10|1 s k r ii n - 2 r ai t - 0 @|1 s k r ii n - 2 r ai t - 0 @
MAHARAJ|False|False|False|True|0|78|8|2 m aa - 0 h @ - 1 r aa jh|1 m a - 0 h @ - 0 r aa k
QUANTUM|True|True|True|True|0|90|9|1 k w o n - 0 t @ m|1 k w o n - 0 t @ m
QUANTUM|True|True|True|True|0|90|17|1 k w o n - 0 t @ m|1 k w o n - 0 t @ m
CONGRUENCE|True|True|True|True|0|92|13|1 k o ng - 0 g r uw @ n s|1 k o ng - 0 g r uw @ n s
PERMUTATION|False|True|True|True|0|95|8|2 p @@r - 0 m y uw t - 1 ei - 0 sh n!|2 p @@r - 0 m y uw - 1 t ei - 0 sh n!
NEURONS|False|False|True|True|0|99|8|1 n y ur - 0 r o n z|1 n y ur - 0 r @ n z
ASSOCIATIVE|True|True|True|True|0|99|14|0 @ - 1 s ou - 0 s iy @ t - 0 i v|0 @ - 1 s ou - 0 s iy @ t - 0 i v
ASSOCIATIVE|True|True|True|True|0|99|17|0 @ - 1 s ou - 0 s iy @ t - 0 i v|0 @ - 1 s ou - 0 s iy @ t - 0 i v
BOEING|True|True|True|True|0|107|4|1 b ou - 0 i ng|1 b ou - 0 i ng
INTERSEX|False|True|False|True|0|122|19|2 i n - 0 t @ - 1 s e k s|1 i n - 0 t @ - 2 s e k s
SENSITIVITY|True|True|True|True|0|127|16|2 s e n - 0 s @ - 1 t i v - 0 @ - 0 t iy|2 s e n - 0 s @ - 1 t i v - 0 @ - 0 t iy
ADVANCEMENTS|True|True|True|True|0|128|8|0 @ d - 1 v aa n s - 0 m @ n t s|0 @ d - 1 v aa n s - 0 m @ n t s
BIOPSY|False|False|False|False|0|129|8|1 b ai - 0 o p - 0 s iy|1 b ai @ p - 0 s iy
MINIMALIST|True|True|True|True|0|135|19|1 m i - 0 n i - 0 m l! - 0 i s t|1 m i - 0 n i - 0 m l! - 0 i s t
SYMMETRIES|True|True|True|True|0|139|10|1 s i - 0 m @ - 0 t r iy z|1 s i - 0 m @ - 0 t r iy z
BUCKED|True|True|True|True|0|141|2|1 b uh k t|1 b uh k t
RODEOS|True|True|True|True|0|147|17|1 r ou - 0 d iy - 0 ou z|1 r ou - 0 d iy - 0 ou z
FELINES|True|True|True|True|0|148|11|1 f ii - 0 l ai n z|1 f ii - 0 l ai n z
FOREWING|True|True|True|True|0|152|1|1 f oo - 0 w i ng|1 f oo - 0 w i ng
FASCIST|False|False|True|True|0|158|11|1 f a - 0 sh i s t|1 f a - 0 s i s t
WILLIAMSON'S|True|True|True|True|0|166|1|1 w i lw - 0 y @ m - 0 s n! z|1 w i lw - 0 y @ m - 0 s n! z
OVERSTOCKED|False|False|False|False|0|175|1|2 ou - 0 v @ - 1 s t o k t|2 ou - 0 v @ - 1 s t o - 0 k i d
CATASTROPHIC|True|True|True|True|0|175|9|2 k a - 0 t @ - 1 s t r o - 0 f i k|2 k a - 0 t @ - 1 s t r o - 0 f i k
WILDFIRES|True|True|True|True|0|175|10|1 w ai lw d - 3 f ai @ z|1 w ai lw d - 3 f ai @ z
WUHAN|False|False|False|True|0|186|1|0 w uw - 1 h a n|1 w uu - 0 @ n
TONG|True|True|True|True|0|186|2|1 t o ng|1 t o ng
CARDHOLDERS|True|True|True|True|0|186|3|1 k aa d - 2 h ou lw d - 0 @ z|1 k aa d - 2 h ou lw d - 0 @ z
ABLAUT|False|False|False|True|0|202|5|1 a - 0 b l ow t|0 @ - 1 b l oo t
