src|match|phone match|stress match|syl match|freq|row|col|ref|pred
MANHEIM|False|True|False|True|0|5|2|0 m a n h - 0 ai m|1 m a n - 0 h ai m
QUICKSORT|False|True|False|True|0|7|14|0 k w i k - 0 s oo t|1 k w i k - 3 s oo t
NIMH|False|True|False|True|0|8|1|0 n i m|1 n i m
COCKSHUTT|False|True|False|True|0|9|15|0 k o k - 0 sh uh t|1 k o k - 3 sh uh t
CLONEABLE|False|True|False|False|0|10|13|0 k l ou n - 0 @ b l!|1 k l ou n - 0 @ - 0 b l!
KELMER|False|True|False|True|0|11|3|0 k e lw - 0 m @|1 k e lw - 0 m @
EGOTISICAL|False|False|False|False|0|11|5|0 ii g - 0 ou t - 0 i z - 0 i k l!|2 ii - 0 g ou - 1 t i s - 0 i k - 0 l!
KELLERMAN|False|True|False|True|0|13|6|0 k e l - 0 @ m - 0 @ n|1 k e - 0 l @ - 0 m @ n
MICHAELA|False|False|False|False|0|14|1|0 m ai k - 0 @ - 0 e l - 0 @|0 m i - 1 k ii - 0 l @
TIBBS|False|True|False|True|0|15|1|0 t i b z|1 t i b z
ALTERNED|False|True|False|True|0|26|2|0 oo lw t - 0 @ n d|1 oo lw - 0 t @ n d
ROLF|False|False|False|True|0|28|1|0 r ou lw f|1 r o lw f
NILSSON|False|True|False|False|0|28|3|0 n i lw s n!|1 n i lw - 0 s n!
RIKSDAG|False|True|False|True|0|28|19|0 r i k - 0 s d a g|1 r i k s - 0 d a g
CELLULITIS|False|False|False|True|0|30|20|0 s e l - 0 uu l - 0 ai t - 0 @ z|0 s @ - 1 l uu l - 0 @ - 0 t i s
ADVENTISM|False|True|False|False|0|31|16|0 a d - 0 v n! t i z m!|1 a d - 0 v n! t - 2 i - 0 z m!
RHYNCHONELLIFORMEA|False|False|False|False|0|33|1|0 r i ng ch - 0 ou n - 0 e l - 0 @ f - 0 oo m - 0 ii - 0 @|2 r ai n - 0 k @ - 2 n e - 0 l i - 1 f oo - 0 m iy @
BRACHIOPODS|False|False|False|False|0|33|10|0 b r a k - 0 iy - 0 @ p - 0 o d z|1 b r ei - 0 k iy @ - 2 p o d z
ARTICULATA|False|False|False|False|0|33|12|0 aa t - 0 i k - 0 ? l aa t - 0 @|0 aa - 2 t i - 0 k y uw - 1 l ei - 0 t @
SUBPHYLUM|False|False|False|True|0|33|16|0 s uh b f - 0 ai l - 0 @ m|1 s uh b - 0 f i - 0 l @ m
WILLKIE|False|True|False|True|0|37|1|0 w i lw k - 0 iy|1 w i lw - 0 k iy
KATARISTA|False|True|False|True|0|40|2|0 k a t - 0 @ r - 0 i s - 0 t @|2 k a - 0 t @ - 1 r i - 0 s t @
AYMARA|False|False|False|True|0|40|20|0 ei m - 0 @ r - 0 @|1 ai - 0 m @ - 0 r @
BUROW'S|False|True|False|True|0|41|4|0 b y ur r - 0 ou z|1 b y ur - 0 r ou z
SIGCOMP|False|True|False|True|0|46|9|0 s i g k - 0 @ m p|1 s i g - 0 k @ m p
PEPTONE|False|True|False|True|0|59|14|0 p e p - 0 t ou n|1 p e p - 3 t ou n
ZOOPLANKTON|False|False|False|True|0|61|16|0 z uu p - 0 l a ng k - 0 t @ n|1 z u p - 2 l a ng k - 0 t @ n
MANGOS|False|False|False|True|0|65|4|0 m a ng g - 0 ou z|1 m a ng - 0 g ou s
NANCE|False|False|False|True|0|65|6|0 n a n s|1 n aa n s
GUAYMI|False|False|False|True|0|65|17|0 g w ei m - 0 iy|1 g ai - 0 m iy
SPIRULINA|False|False|False|True|0|68|1|0 s p i r - 0 uu l - 0 ai n - 0 @|2 s p i - 0 r @ - 1 l ii - 0 n @
